function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
RXN-9634	9340.65	5196.37	8473.470000000001	8429.210000000001	4752.08	5937.709999999999	6848.09	5924.9400000000005	3158.9300000000003	5354.58	6893.91	7084.21	8860.64	7396.39
RXN-9635	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9644	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN-9648	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9650	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9651	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9652	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9653	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9654	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9655	9340.65	5196.37	8473.470000000001	8429.210000000001	4752.08	5937.709999999999	6848.09	5924.9400000000005	3158.9300000000003	5354.58	6893.91	7084.21	8860.64	7396.39
RXN-9657	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9658	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9659	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9660	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9661	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9662	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9663	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9673	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN-9674	27861.59	19098.97	32474.620000000003	22663.67	16993.08	58180.41	21859.620000000003	17053.28	38289.16	27062.44	16950.4	19580.21	21531.93	19296.76
RXN-969	294.2	252.5	319.79	1097.03	44.0	283.25	534.17	504.47	53.31	133.37	771.75	872.42	762.76	391.8
RXN-9729	0.0	1.0	0.0	0.0	3.0	15.29	12.64	72.0	49.0	53.0	181.0	101.0	58.88	277.0
