# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
ef24a4a10b6482e5330dcafded2b6ce3	63.0	0.0	22.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14bc3e64e2da01381f141ffe3e76c8fd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	28.0	0.0	0.0	42.0
e8aa604c21bb2b8d7451a9d3d1db9adc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	44.0	13.0
c86fddc108cc3cca4350c261ba12aa11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0
d386aca642821b302b3e7616af4ec876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	29.0	38.0	0.0	0.0	0.0	0.0
d1ca2fef46a37c8561ad59fc62469ffa	0.0	0.0	16.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f565d3ae1c66fe76247b10d36b0f16bd	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
874454f0b981acbb9c06fd0a1aa88e91	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9c5cf0f17cfbd0d3304842aef250b11c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	37.0	0.0	0.0	0.0	0.0
5b36a6f709d6b3fef719e11e52bf9499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0
f5efe89ebbd77681bf7bdca1deab2758	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c110baa64d95ba5fa246d84f9afa9335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	80.0	0.0
e263ba4dd5c8e8eddfc9ce9c4371bcfc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0
047eb742fa25e6f212d4d9e5c7425e20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0
6b46a20b62bb0a6c50261b139597a855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	49.0	0.0
593615c94dce7d4fbebf5efca616e8f8	0.0	73.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eb2803b00fdd061a48a6547039bb081d	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
